"","country","year","region","continent","population","infant_mortality","fertility","gdp","life_expectancy"
"1426","Paraguay",1967,"South America","Americas",2289579,59.3,6.17,1710726966,68.37
"1427","Peru",1967,"South America","Americas",12282081,111.6,6.61,24827773150,53.03
"1428","Philippines",1967,"South-Eastern Asia","Asia",32826602,58,6.59,25527259808,61.26
"1430","Portugal",1967,"Southern Europe","Europe",8774391,61.7,3.13,31962024667,66.57
"1435","Rwanda",1967,"Eastern Africa","Africa",3418313,124,8.2,643206569.4,45.07
"1440","Senegal",1967,"Western Africa","Africa",3862783,124.7,7.23,2101592047,38.74
"1442","Seychelles",1967,"Eastern Africa","Africa",48911,61.8,5.92,121173627.5,63.43
"1443","Sierra Leone",1967,"Western Africa","Africa",2399667,200.8,6.52,615145191.1,40.18
"1444","Singapore",1967,"South-Eastern Asia","Asia",1960547,25.3,3.82,6535267252,66.63
"1449","Spain",1967,"Southern Europe","Europe",32873962,32.1,2.85,190720551066,71.39
"1450","Sri Lanka",1967,"Southern Asia","Asia",11661660,57,4.73,3578500632,63.17
"1451","Sudan",1967,"Northern Africa","Africa",9299545,97.4,6.85,3563272665,52.9
"1454","Sweden",1967,"Northern Europe","Europe",7870642,12.6,2.27,115485854142,74.12
"1456","Syria",1967,"Western Asia","Asia",5767478,87.4,7.57,3104197851,57.12
"1459","Thailand",1967,"South-Eastern Asia","Asia",33778500,80.8,6.01,14963060547,58.56
"1461","Togo",1967,"Western Africa","Africa",1855445,141.8,6.91,518584726.7,45.75
"1463","Trinidad and Tobago",1967,"Caribbean","Americas",925918,46.7,3.99,4003320233,65.41
"1464","Tunisia",1967,"Northern Africa","Africa",4737633,141.4,6.87,3873194382,49.42
"1465","Turkey",1967,"Western Asia","Asia",32448404,136.6,5.8,65561039657,52.48
"1470","United Kingdom",1967,"Northern Europe","Europe",54904680,19.1,2.61,642023413952,72.06
"1471","United States",1967,"Northern America","Americas",203713082,22,2.56,3452528893825,70.76
"1472","Uruguay",1967,"South America","Americas",2750093,51.2,2.83,11024475409,68.8
"1475","Venezuela",1967,"South America","Americas",10528054,51.3,6.01,57817155664,64.22
"1479","Zambia",1967,"Eastern Africa","Africa",3792864,112.9,7.38,2257064144,52.05
"1480","Zimbabwe",1967,"Eastern Africa","Africa",4718612,76.3,7.4,1909037242,56.04
"1482","Algeria",1968,"Northern Africa","Africa",13744383,148.7,7.66,16723776097,51.49
"1485","Argentina",1968,"South America","Americas",23261273,58.58,3.05,140293429800,66.47
"1488","Australia",1968,"Australia and New Zealand","Oceania",12305530,18.2,2.89,138244569180,70.7
"1489","Austria",1968,"Western Europe","Europe",7433328,25.7,2.59,73795177759,70.25
"1491","Bahamas",1968,"Caribbean","Americas",158629,25,3.64,2790951804,64.14
"1493","Bangladesh",1968,"Southern Asia","Asia",61585520,151.5,6.94,17657496028,47.83
"1494","Barbados",1968,"Caribbean","Americas",237199,45.1,3.46,1258517199,65.5
"1496","Belgium",1968,"Western Europe","Europe",9589107,21.9,2.36,97255011947,70.55
"1497","Belize",1968,"Central America","Americas",116061,75.5,6.34,129929752,64.67
"1498","Benin",1968,"Western Africa","Africa",2788551,161.5,6.67,791897913.4,42.69
"1500","Bolivia",1968,"South America","Americas",4324066,150.6,6.59,3810638169,46.69
"1502","Botswana",1968,"Southern Africa","Africa",650730,91.2,6.69,210532629.3,53.23
"1503","Brazil",1968,"South America","Americas",91213009,107.4,5.33,160097893161,58.91
"1506","Burkina Faso",1968,"Western Africa","Africa",5434040,150.2,6.56,778462514.9,39.3
"1507","Burundi",1968,"Eastern Africa","Africa",3317315,145.9,7.27,438333616.9,42.52
"1509","Cameroon",1968,"Middle Africa","Africa",6437157,137.3,6.11,3118174741,47.79
"1510","Canada",1968,"Northern America","Americas",20739031,20.2,2.46,256456652565,72.23
"1512","Central African Republic",1968,"Middle Africa","Africa",1755260,142.6,5.95,590951707.4,41.84
"1514","Chile",1968,"South America","Americas",9187592,72.7,4.39,19952775457,60.61
"1516","Colombia",1968,"South America","Americas",20905061,74.9,6.05,27864380352,62.03
"1519","Congo, Rep.",1968,"Middle Africa","Africa",1259190,92.7,6.21,821451281.6,52.21
"1520","Costa Rica",1968,"Central America","Americas",1746870,63.5,5.66,3803666600,66.35
"1521","Cote d'Ivoire",1968,"Western Africa","Africa",4794399,169.9,7.85,3821029605,43.7
"1526","Denmark",1968,"Northern Europe","Europe",4865343,15.2,2.12,74483261672,73.27
"1528","Dominican Republic",1968,"Caribbean","Americas",4250026,89.3,6.56,4037383996,59.47
"1529","Ecuador",1968,"South America","Americas",5730908,100.3,6.34,4886444434,58.32
"1530","Egypt",1968,"Northern Africa","Africa",33252275,166.9,6.14,18025776785,51.97
"1531","El Salvador",1968,"Central America","Americas",3477702,110.1,6.4,6526555576,56.84
"1536","Fiji",1968,"Melanesia","Oceania",498887,43.9,4.89,622360093,58.89
"1537","Finland",1968,"Northern Europe","Europe",4589226,14.4,2.15,43922607785,69.82
"1538","France",1968,"Western Europe","Europe",50126895,16.5,2.62,531525932127,71.66
"1541","Gambia",1968,"Western Africa","Africa",425509,130.5,5.99,227571802.8,41.3
"1544","Ghana",1968,"Western Africa","Africa",8221021,120.6,6.96,2192070266,49.46
"1545","Greece",1968,"Southern Europe","Europe",8682351,38.3,2.36,49565497480,70.59
"1548","Guatemala",1968,"Central America","Americas",5131461,124.2,6.29,6156437883,51.93
"1551","Guyana",1968,"South America","Americas",680068,56,5.15,489120740,60.43
"1553","Honduras",1968,"Central America","Americas",2552200,109.5,7.38,2293323844,53.34
"1555","Hungary",1968,"Eastern Europe","Europe",10273730,41,1.98,22236127193,69.38
"1556","Iceland",1968,"Northern Europe","Europe",199634,13.9,3.22,2537274841,74.12
"1557","India",1968,"Southern Asia","Asia",530274729,146.9,5.64,106902463736,47.21
"1558","Indonesia",1968,"South-Eastern Asia","Asia",108821565,119.8,5.56,23728516741,51.27
"1559","Iran",1968,"Southern Asia","Asia",27032944,176.8,6.62,33242581511,50.98
"1563","Italy",1968,"Southern Europe","Europe",52802703,32,2.52,457720307799,70.85
"1564","Jamaica",1968,"Caribbean","Americas",1827989,47.9,5.72,5300657195,69.99
"1565","Japan",1968,"Eastern Asia","Asia",100988866,15.1,2.05,1560665211109,71.73
"1568","Kenya",1968,"Eastern Africa","Africa",10502250,95.2,8.12,3182996848,52.57
"1570","South Korea",1968,"Eastern Asia","Asia",30204127,49.9,4.73,51482408205,59.44
"1576","Lesotho",1968,"Southern Africa","Africa",990869,137,5.81,178090769.7,49.24
"1577","Liberia",1968,"Western Africa","Africa",1348448,198.5,6.62,956055027,38.91
"1580","Luxembourg",1968,"Western Europe","Europe",335831,21.3,2.14,5296930800,70.17
"1583","Madagascar",1968,"Eastern Africa","Africa",6232704,91.5,7.32,2570772457,46.6
"1584","Malawi",1968,"Eastern Africa","Africa",4370664,210.8,7.22,516386439.5,40.73
"1585","Malaysia",1968,"South-Eastern Asia","Asia",10375877,47.2,5.17,11180306434,64.17
"1587","Mali",1968,"Western Africa","Africa",5780834,200.3,6.88,976308004.4,33.07
"1589","Mauritania",1968,"Western Africa","Africa",1083586,112.2,6.8,617923814.5,48.78
"1591","Mexico",1968,"Central America","Americas",48893607,82,6.78,164289317789,60.91
"1596","Morocco",1968,"Northern Africa","Africa",15335173,125.4,6.87,10661780838,53.46
"1599","Nepal",1968,"Southern Asia","Asia",11524132,186.8,5.99,1615489280,43.51
"1600","Netherlands",1968,"Western Europe","Europe",12675176,13.4,2.72,147888940327,73.6
"1603","Nicaragua",1968,"Central America","Americas",2256779,121.1,6.94,2900067094,57.47
"1604","Niger",1968,"Western Africa","Africa",4258415,134.5,7.34,1379660251,37.88
"1605","Nigeria",1968,"Western Africa","Africa",53640547,178.2,6.39,12748660891,33.47
"1606","Norway",1968,"Northern Europe","Europe",3815399,14.2,2.75,54154948070,74.07
"1607","Oman",1968,"Western Asia","Asia",679593,169.3,7.29,2189091628,51.62
"1608","Pakistan",1968,"Southern Asia","Asia",55045897,147.7,6.6,14715011785,52.95
"1609","Panama",1968,"Central America","Americas",1434660,54.7,5.38,3576148209,65.65
"1610","Papua New Guinea",1968,"Melanesia","Oceania",2313017,106.3,6.21,1353748650,44.74
"1611","Paraguay",1968,"South America","Americas",2350900,58.9,6.04,1764594760,68.63
"1612","Peru",1968,"South America","Americas",12629333,108.7,6.52,24915797888,53.74
"1613","Philippines",1968,"South-Eastern Asia","Asia",33797041,57,6.49,26789689529,61.6
"1615","Portugal",1968,"Southern Europe","Europe",8709805,60.2,3.09,34798817118,66.88
"1620","Rwanda",1968,"Eastern Africa","Africa",3527260,125.5,8.21,688319669,45.27
"1625","Senegal",1968,"Western Africa","Africa",3975614,124,7.27,2233798443,38.9
"1627","Seychelles",1968,"Eastern Africa","Africa",49985,59.3,5.9,130326155.4,63.78
"1628","Sierra Leone",1968,"Western Africa","Africa",2435197,197.3,6.58,627570655.5,41.08
"1629","Singapore",1968,"South-Eastern Asia","Asia",1998637,24.1,3.58,7423671459,66.84
"1634","Spain",1968,"Southern Europe","Europe",33211168,30.1,2.86,203302424227,71.68
"1635","Sri Lanka",1968,"Southern Asia","Asia",11940634,55.7,4.61,3786093206,63.7
"1636","Sudan",1968,"Northern Africa","Africa",9598196,96.4,6.87,3633227617,53.36
"1639","Sweden",1968,"Northern Europe","Europe",7936726,12.1,2.07,119687520926,73.99
"1641","Syria",1968,"Western Asia","Asia",5963248,83.2,7.57,3219955879,57.83
"1644","Thailand",1968,"South-Eastern Asia","Asia",34790945,77.8,5.9,16178399797,58.96
"1646","Togo",1968,"Western Africa","Africa",1945781,138.8,6.97,544636825.4,46.41
"1648","Trinidad and Tobago",1968,"Caribbean","Americas",931466,45.7,3.8,4212099333,65.5
"1649","Tunisia",1968,"Northern Africa","Africa",4842166,134.8,6.74,4276383395,50.56
"1650","Turkey",1968,"Western Asia","Asia",33196289,133.1,5.72,70004764349,53.21
"1655","United Kingdom",1968,"Northern Europe","Europe",55171084,18.7,2.52,667606364863,71.68
"1656","United States",1968,"Northern America","Americas",205687611,21.3,2.47,3618250280729,70.42
"1657","Uruguay",1968,"South America","Americas",2774771,50.5,2.84,11232718019,68.82
"1660","Venezuela",1968,"South America","Americas",10881995,50.3,5.81,62059334863,64.77
"1664","Zambia",1968,"Eastern Africa","Africa",3916928,112.2,7.41,2285239764,52.64
"1665","Zimbabwe",1968,"Eastern Africa","Africa",4874113,74.7,7.41,1946647826,56.43
"1667","Algeria",1969,"Northern Africa","Africa",14144437,147.7,7.65,18134139015,51.95
"1670","Argentina",1969,"South America","Americas",23605992,60,3.06,153873168802,66.72
"1673","Australia",1969,"Australia and New Zealand","Oceania",12621240,18.1,2.89,147986737705,71.11
"1674","Austria",1969,"Western Europe","Europe",7473058,25.3,2.49,78426465090,70.02
"1676","Bahamas",1969,"Caribbean","Americas",164250,25.5,3.57,3041625635,64.39
"1678","Bangladesh",1969,"Southern Asia","Asia",63422570,150.4,6.95,17873068964,47.09
"1679","Barbados",1969,"Caribbean","Americas",237911,43.1,3.28,1353137616,65.91
"1681","Belgium",1969,"Western Europe","Europe",9629528,21.3,2.28,103702824530,70.63
"1682","Belize",1969,"Central America","Americas",119260,72.8,6.32,136564464,65.21
"1683","Benin",1969,"Western Africa","Africa",2846652,159.2,6.71,814684760,43.31
"1685","Bolivia",1969,"South America","Americas",4413584,147.5,6.59,3928616028,47.05
"1687","Botswana",1969,"Southern Africa","Africa",671305,88.3,6.67,242372325.1,53.73
"1688","Brazil",1969,"South America","Americas",93585746,105,5.17,175684746848,59.31
"1691","Burkina Faso",1969,"Western Africa","Africa",5528172,149.7,6.59,794234796.3,39.78
"1692","Burundi",1969,"Eastern Africa","Africa",3392949,146.2,7.29,431935957.4,42.65
"1694","Cameroon",1969,"Middle Africa","Africa",6600479,131.5,6.16,3271011438,48.37
"1695","Canada",1969,"Northern America","Americas",21089228,19.4,2.41,269946274608,72.39
"1697","Central African Republic",1969,"Middle Africa","Africa",1792150,139.8,5.95,632858495.2,42.57
"1698","Chad",1969,"Middle Africa","Africa",3569778,137.3,6.48,814245430.4,45.12
"1699","Chile",1969,"South America","Americas",9377005,69.1,4.2,20645399593,61.17
"1700","China",1969,"Eastern Asia","Asia",787191243,84.1,5.67,83812284610,59.38
"1701","Colombia",1969,"South America","Americas",21490948,72.7,5.83,29681398501,62.43
"1703","Congo, Dem. Rep.",1969,"Middle Africa","Africa",19458874,150.7,6.19,6744608852,47.63
"1704","Congo, Rep.",1969,"Middle Africa","Africa",1296137,90.6,6.24,883458738.7,52.54
"1705","Costa Rica",1969,"Central America","Americas",1798315,62.7,5.32,4015824845,66.84
"1706","Cote d'Ivoire",1969,"Western Africa","Africa",5010962,165.4,7.88,4185525978,44.53
"1711","Denmark",1969,"Northern Europe","Europe",4898350,14.6,2,79192454725,73.36
"1713","Dominican Republic",1969,"Caribbean","Americas",4376056,87.5,6.38,4477113494,60.16
"1714","Ecuador",1969,"South America","Americas",5899842,98.2,6.24,5152577965,58.76
"1715","Egypt",1969,"Northern Africa","Africa",34038147,164.3,6.04,19253791889,52.25
"1716","El Salvador",1969,"Central America","Americas",3572667,108.4,6.3,6754033315,57.24
"1721","Fiji",1969,"Melanesia","Oceania",509659,43.5,4.71,638519147.9,59.26
"1722","Finland",1969,"Northern Europe","Europe",4595807,13.9,1.94,48136229953,69.7
"1723","France",1969,"Western Europe","Europe",50466183,15.8,2.56,568682414708,71.4
"1726","Gambia",1969,"Western Africa","Africa",435800,128.3,6.04,233114371,42.3
"1729","Ghana",1969,"Western Africa","Africa",8397346,120.5,6.96,2323729823,49.78
"1730","Greece",1969,"Southern Europe","Europe",8732308,36.1,2.37,54472347989,70.88
"1733","Guatemala",1969,"Central America","Americas",5274726,121.2,6.26,6448062749,52.72
"1736","Guyana",1969,"South America","Americas",687658,55.6,5.11,523331735.6,60.59
"1738","Honduras",1969,"Central America","Americas",2620014,105.8,7.33,2308355180,54
"1740","Hungary",1969,"Eastern Europe","Europe",10309211,39.9,2.01,23770419969,69.45
"1741","Iceland",1969,"Northern Europe","Europe",201941,13.4,3.12,2597524666,73.9
"1742","India",1969,"Southern Asia","Asia",541844848,144.8,5.57,113893564473,47.93
"1743","Indonesia",1969,"South-Eastern Asia","Asia",111800090,116.4,5.52,25502789513,52
"1744","Iran",1969,"Southern Asia","Asia",27765239,163.1,6.53,37532993345,51.67
"1748","Italy",1969,"Southern Europe","Europe",53160056,30.9,2.5,485632366780,70.87
"1749","Jamaica",1969,"Caribbean","Americas",1849463,46.3,5.62,5596151546,70.36
"1750","Japan",1969,"Eastern Asia","Asia",102323674,14.2,2.08,1755403369875,71.96
"1753","Kenya",1969,"Eastern Africa","Africa",10867717,93.3,8.1,3436338712,53.19
"1755","South Korea",1969,"Eastern Asia","Asia",30811523,45.7,4.62,58741465078,60.35
"1761","Lesotho",1969,"Southern Africa","Africa",1011308,134.5,5.81,180846788.8,49.43
"1762","Liberia",1969,"Western Africa","Africa",1383305,194.9,6.66,1025736764,39.49
"1765","Luxembourg",1969,"Western Europe","Europe",337565,20.3,2.05,5825186184,69.73
"1768","Madagascar",1969,"Eastern Africa","Africa",6400454,92.4,7.32,2666436611,47.18
"1769","Malawi",1969,"Eastern Africa","Africa",4484456,209.6,7.26,546762148.4,41.16
"1770","Malaysia",1969,"South-Eastern Asia","Asia",10640347,45.3,5.01,11726859459,64.63
"1772","Mali",1969,"Western Africa","Africa",5861411,197.9,6.89,978563270.2,33.77
"1774","Mauritania",1969,"Western Africa","Africa",1115790,110,6.79,625638791.8,49.27
"1776","Mexico",1969,"Central America","Americas",50423127,79.8,6.76,169905745308,61.32
"1781","Morocco",1969,"Northern Africa","Africa",15687996,123,6.78,11553336581,53.91
"1784","Nepal",1969,"Southern Asia","Asia",11750914,182.6,5.98,1687595378,43.97
"1785","Netherlands",1969,"Western Europe","Europe",12821786,13.1,2.75,157397384437,73.51
"1788","Nicaragua",1969,"Central America","Americas",2326136,118.9,6.92,3080964693,58.33
"1789","Niger",1969,"Western Africa","Africa",4375837,136.1,7.38,1303972837,38.05
"1790","Nigeria",1969,"Western Africa","Africa",54859201,173.7,6.43,15833503316,31.63
"1791","Norway",1969,"Northern Europe","Europe",3845932,13.7,2.69,56594418064,73.78
"1792","Oman",1969,"Western Asia","Asia",700729,160.4,7.29,2750947628,52.43
"1793","Pakistan",1969,"Southern Asia","Asia",56545924,144.3,6.6,15525499865,53.52
"1794","Panama",1969,"Central America","Americas",1476478,53.2,5.28,3881137437,66.15
"1795","Papua New Guinea",1969,"Melanesia","Oceania",2371515,103.1,6.19,1465750490,45.53
"1796","Paraguay",1969,"South America","Americas",2412565,58.4,5.89,1837339143,68.9
"1797","Peru",1969,"South America","Americas",12982444,106,6.42,25861265879,54.52
"1798","Philippines",1969,"South-Eastern Asia","Asia",34787588,56.1,6.38,28037113537,61.94
"1800","Portugal",1969,"Southern Europe","Europe",8669641,58.1,3.05,35536809956,66.49
"1805","Rwanda",1969,"Eastern Africa","Africa",3640591,127.3,8.22,764085562.8,45.44
"1807","St. Vincent and the Grenadines",1969,"Caribbean","Americas",89518,57.5,6.19,112926181.2,64.46
"1810","Senegal",1969,"Western Africa","Africa",4093763,123.1,7.3,2087392100,39.17
"1812","Seychelles",1969,"Eastern Africa","Africa",51124,56.8,5.85,130326155.4,64.18
"1813","Sierra Leone",1969,"Western Africa","Africa",2473165,194.1,6.64,681073857.8,42.08
"1814","Singapore",1969,"South-Eastern Asia","Asia",2036270,22.9,3.38,8440042998,67.09
"1819","Spain",1969,"Southern Europe","Europe",33558627,27.8,2.87,221410602777,71.21
"1820","Sri Lanka",1969,"Southern Asia","Asia",12217248,54.6,4.48,4078258886,64.21
"1821","Sudan",1969,"Northern Africa","Africa",9909152,95.5,6.88,3683705862,53.82
"1824","Sweden",1969,"Northern Europe","Europe",7997380,11.7,1.92,125683446286,74.11
"1826","Syria",1969,"Western Asia","Asia",6166933,79.2,7.57,3824274467,58.57
"1829","Thailand",1969,"South-Eastern Asia","Asia",35826803,74.8,5.76,17238191546,59.39
"1831","Togo",1969,"Western Africa","Africa",2034909,135.8,7.03,603625722.9,47.07
"1833","Trinidad and Tobago",1969,"Caribbean","Americas",937846,44.8,3.66,4327118341,65.6
"1834","Tunisia",1969,"Northern Africa","Africa",4950153,128.4,6.59,4479418249,51.74
"1835","Turkey",1969,"Western Asia","Asia",33969201,129.6,5.64,72861760698,53.91
"1840","United Kingdom",1969,"Northern Europe","Europe",55406435,18.4,2.41,681308622665,71.64
"1841","United States",1969,"Northern America","Americas",207599308,20.6,2.46,3730416039432,70.66
"1842","Uruguay",1969,"South America","Americas",2795044,49.6,2.87,11891487796,68.84
"1845","Venezuela",1969,"South America","Americas",11235492,49.2,5.61,62497496638,65.3
"1849","Zambia",1969,"Eastern Africa","Africa",4047479,111.1,7.43,2275255181,53.25
"1850","Zimbabwe",1969,"Eastern Africa","Africa",5036321,73.4,7.42,2188581822,56.83
"1852","Algeria",1970,"Northern Africa","Africa",14550033,146,7.64,19741305571,52.41
"1855","Argentina",1970,"South America","Americas",23973062,59.5,3.07,158559596721,67.01
"1858","Australia",1970,"Australia and New Zealand","Oceania",12904760,17.8,2.86,158580342543,70.78
"1859","Austria",1970,"Western Europe","Europe",7509746,25,2.29,82875391403,70.07
"1861","Bahamas",1970,"Caribbean","Americas",169356,26,3.53,2869784437,64.61
"1863","Bangladesh",1970,"Southern Asia","Asia",65048701,149.5,6.95,18877509042,46.31
"1864","Barbados",1970,"Caribbean","Americas",238847,41.1,3.11,1481812925,66.31
"1866","Belgium",1970,"Western Europe","Europe",9664320,20.6,2.21,109689339514,70.89
"1867","Belize",1970,"Central America","Americas",122179,70.3,6.3,143130064,65.72
"1868","Benin",1970,"Western Africa","Africa",2907769,157.1,6.75,831774871.3,43.93
"1870","Bolivia",1970,"South America","Americas",4505774,144.4,6.58,3909176407,47.44
"1872","Botswana",1970,"Southern Africa","Africa",693021,85.3,6.64,283867117.2,54.3
"1873","Brazil",1970,"South America","Americas",95982453,102.5,5.02,191092206861,59.73
"1876","Burkina Faso",1970,"Western Africa","Africa",5624597,149.3,6.62,795164206.9,40.27
"1877","Burundi",1970,"Eastern Africa","Africa",3457113,146.4,7.31,524049197.5,42.76
"1879","Cameroon",1970,"Middle Africa","Africa",6770967,126.2,6.21,3372153343,48.97
"1880","Canada",1970,"Northern America","Americas",21439200,18.5,2.31,276920125854,72.58
"1882","Central African Republic",1970,"Middle Africa","Africa",1828710,137,5.95,647622869,43.36
"1883","Chad",1970,"Middle Africa","Africa",3644911,135.9,6.53,829387598.2,45.72
"1884","Chile",1970,"South America","Americas",9561868,67.6,4.02,21083602246,61.74
"1885","China",1970,"Eastern Asia","Asia",808510713,80.4,5.75,100071867825,61
"1886","Colombia",1970,"South America","Americas",22061214,70.4,5.6,31746189470,62.83
"1888","Congo, Dem. Rep.",1970,"Middle Africa","Africa",20009902,149,6.21,6728080745,48.13
"1889","Congo, Rep.",1970,"Middle Africa","Africa",1335090,88.5,6.26,939633199,52.85
"1890","Costa Rica",1970,"Central America","Americas",1848873,61.2,5.01,4317137578,67.34
"1891","Cote d'Ivoire",1970,"Western Africa","Africa",5241914,161,7.91,4619775632,45.38
"1893","Cuba",1970,"Caribbean","Americas",8715123,37.4,4.03,15468957115,69.84
"1896","Denmark",1970,"Northern Europe","Europe",4930118,13.9,1.95,80796964460,73.49
"1898","Dominican Republic",1970,"Caribbean","Americas",4503114,85.7,6.18,5293142768,60.83
"1899","Ecuador",1970,"South America","Americas",6072520,96,6.13,5544774181,59.21
"1900","Egypt",1970,"Northern Africa","Africa",34808599,162,5.94,20331718433,52.54
"1901","El Salvador",1970,"Central America","Americas",3668592,106.7,6.2,6955120790,57.57
"1906","Fiji",1970,"Melanesia","Oceania",520529,43.1,4.54,719628345.3,59.61
"1907","Finland",1970,"Northern Europe","Europe",4606740,13.2,1.83,50703772073,70.4
"1908","France",1970,"Western Europe","Europe",50843830,15.1,2.49,601287903229,72.29
"1911","Gambia",1970,"Western Africa","Africa",447283,126,6.09,247459869.1,43.31
"1913","Germany",1970,"Western Europe","Europe",78366605,22.1,2.04,929852280013,70.72
"1914","Ghana",1970,"Western Africa","Africa",8596977,120.1,6.95,2549677064,50.08
"1915","Greece",1970,"Southern Europe","Europe",8778676,33.7,2.36,58805784184,71.2
"1918","Guatemala",1970,"Central America","Americas",5423384,118.2,6.24,6816110666,53.5
"1921","Guyana",1970,"South America","Americas",695561,55.4,5.07,545601892.3,60.75
"1923","Honduras",1970,"Central America","Americas",2691309,102.2,7.27,2392072782,54.68
"1925","Hungary",1970,"Eastern Europe","Europe",10345553,39,2.03,24887629708,69.29
"1926","Iceland",1970,"Northern Europe","Europe",204392,12.8,3.03,2791210652,74
"1927","India",1970,"Southern Asia","Asia",553943226,142.8,5.49,119767317248,48.65
"1928","Indonesia",1970,"South-Eastern Asia","Asia",114834781,113.1,5.47,27581801389,52.71
"1929","Iran",1970,"Southern Asia","Asia",28514011,150.8,6.44,41224753977,52.43
"1932","Israel",1970,"Western Asia","Asia",2849623,24,3.82,28662263303,70.96
"1933","Italy",1970,"Southern Europe","Europe",53522670,29.7,2.47,511421885412,71.62
"1934","Jamaica",1970,"Caribbean","Americas",1873353,44.8,5.48,6271294160,70.72
"1935","Japan",1970,"Eastern Asia","Asia",103707537,13.4,2.1,1737431737253,72.05
"1938","Kenya",1970,"Eastern Africa","Africa",11252466,91.3,8.08,3276361787,53.83
"1939","Kiribati",1970,"Micronesia","Oceania",51181,97.3,6.05,59543629.28,49.82
"1940","South Korea",1970,"Eastern Asia","Asia",31437141,41.4,4.53,63643234642,61.22
"1944","Latvia",1970,"Northern Europe","Europe",2365753,21,1.91,4958641112,70.31
"1946","Lesotho",1970,"Southern Africa","Africa",1032240,131.6,5.81,184783955.1,49.67
"1947","Liberia",1970,"Western Africa","Africa",1419728,191.3,6.7,1094083642,40.1
"1950","Luxembourg",1970,"Western Europe","Europe",339673,19.3,1.96,5924720196,69.47
"1953","Madagascar",1970,"Eastern Africa","Africa",6576301,93.2,7.33,2807129955,47.77
"1954","Malawi",1970,"Eastern Africa","Africa",4603739,207.7,7.3,549382768.3,41.62
"1955","Malaysia",1970,"South-Eastern Asia","Asia",10908634,43.5,4.87,12428892426,65.08
"1957","Mali",1970,"Western Africa","Africa",5949043,195.7,6.9,1038617256,34.51
"1958","Malta",1970,"Southern Europe","Europe",304414,24.7,1.98,627739540.1,71.6
"1959","Mauritania",1970,"Western Africa","Africa",1148908,108.5,6.78,700627426.6,49.77
"1961","Mexico",1970,"Central America","Americas",52029859,77.5,6.72,180953839268,61.77
"1966","Morocco",1970,"Northern Africa","Africa",16039600,120.8,6.69,12097898528,54.34
"1969","Nepal",1970,"Southern Asia","Asia",11986974,178.6,5.97,1731067702,44.43
"1970","Netherlands",1970,"Western Europe","Europe",12964880,12.6,2.57,166360843660,73.57
"1973","Nicaragua",1970,"Central America","Americas",2398095,116.6,6.89,3122675612,59.18
"1974","Niger",1970,"Western Africa","Africa",4497355,137.6,7.42,1343819364,38.24
"1975","Nigeria",1970,"Western Africa","Africa",56131844,168.9,6.47,19793025795,41.79
"1976","Norway",1970,"Northern Europe","Europe",3875719,13.1,2.5,57725534132,74.19
"1977","Oman",1970,"Western Asia","Asia",723850,151.8,7.31,3133194420,53.26
"1978","Pakistan",1970,"Southern Asia","Asia",58094239,141.1,6.6,17288181549,54.06
"1979","Panama",1970,"Central America","Americas",1519293,51.4,5.17,4129015842,66.66
"1980","Papua New Guinea",1970,"Melanesia","Oceania",2434755,100.1,6.16,1624678937,46.27
"1981","Paraguay",1970,"South America","Americas",2474102,58,5.74,1926997660,69.2
"1982","Peru",1970,"South America","Americas",13341071,103.4,6.31,27370756022,55.36
"1983","Philippines",1970,"South-Eastern Asia","Asia",35804731,55.4,6.26,29092600073,62.26
"1985","Portugal",1970,"Southern Europe","Europe",8670352,55.4,2.99,40018991717,67.14
"1990","Rwanda",1970,"Eastern Africa","Africa",3754546,129.4,8.23,809941586.7,45.58
"1992","St. Vincent and the Grenadines",1970,"Caribbean","Americas",90457,58.6,6.01,125061108,64.84
"1994","Saudi Arabia",1970,"Western Asia","Asia",5836394,118,7.28,44074095962,55.65
"1995","Senegal",1970,"Western Africa","Africa",4217754,121.7,7.34,2266115562,39.59
"1997","Seychelles",1970,"Eastern Africa","Africa",52364,54.1,5.76,141888524.4,64.62
"1998","Sierra Leone",1970,"Western Africa","Africa",2514151,191,6.7,739785783.7,43.15
"1999","Singapore",1970,"South-Eastern Asia","Asia",2074071,22,3.19,9603756795,67.4
"2004","Spain",1970,"Southern Europe","Europe",33923240,25.5,2.87,230977558793,72.19
"2005","Sri Lanka",1970,"Southern Asia","Asia",12487493,53.6,4.34,4235134591,64.69
"2006","Sudan",1970,"Northern Africa","Africa",10232758,94.7,6.89,3901968151,54.26
"2008","Swaziland",1970,"Southern Africa","Africa",445844,119.3,6.88,257078585.9,48.79
"2009","Sweden",1970,"Northern Europe","Europe",8049049,11.3,1.92,133277251110,74.66
"2011","Syria",1970,"Western Asia","Asia",6378802,75.3,7.57,3678653011,59.31
"2014","Thailand",1970,"South-Eastern Asia","Asia",36884914,71.8,5.6,19204716561,59.86
"2016","Togo",1970,"Western Africa","Africa",2115521,132.8,7.08,618863062.9,47.72
"2018","Trinidad and Tobago",1970,"Caribbean","Americas",945996,43.9,3.55,4480022976,65.73
"2019","Tunisia",1970,"Northern Africa","Africa",5060393,122.2,6.44,4688590613,52.94
"2020","Turkey",1970,"Western Asia","Asia",34772031,126.2,5.56,75217752385,54.59
"2025","United Kingdom",1970,"Northern Europe","Europe",55611401,18,2.29,698034860534,71.89
"2026","United States",1970,"Northern America","Americas",209485807,19.9,2.46,3737876871510,70.92
