Book_ID	ISBN	Book-Title	Book-Author	Year-Of-Publication	Publisher	Image-URL-S	Image-URL-M	Image-URL-L
413	0425184129	Big Trouble	Dave Barry	2002	Berkley Publishing Group	http://images.amazon.com/images/P/0425184129.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0425184129.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0425184129.01.LZZZZZZZ.jpg	
414	0151001006	Snow Falling on Cedars	David Guterson	1994	Harcourt	http://images.amazon.com/images/P/0151001006.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0151001006.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0151001006.01.LZZZZZZZ.jpg	
415	0385505833	Skipping Christmas	JOHN GRISHAM	2001	Doubleday	http://images.amazon.com/images/P/0385505833.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0385505833.01.LZZZZZZZ.jpg	
416	0679442790	The Reader	Bernhard Schlink	1997	Random House	http://images.amazon.com/images/P/0679442790.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0679442790.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0679442790.01.LZZZZZZZ.jpg	
417	0525943862	Cheaters	Eric Jerome Dickey	1999	Dutton Books	http://images.amazon.com/images/P/0525943862.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0525943862.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0525943862.01.LZZZZZZZ.jpg	
418	0060191929	The Saving Graces : A Novel	Patricia Gaffney	1999	HarperCollins	http://images.amazon.com/images/P/0060191929.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0060191929.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0060191929.01.LZZZZZZZ.jpg	
419	0743206045	Daddy's Little Girl	Mary Higgins Clark	2002	Simon &amp	 Schuster	http://images.amazon.com/images/P/0743206045.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0743206045.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0743206045.01.LZZZZZZZ.jpg	
420	0684864843	The Vineyard : A Novel	Barbara Delinsky	2000	Simon &amp	 Schuster	http://images.amazon.com/images/P/0684864843.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0684864843.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0684864843.01.LZZZZZZZ.jpg	
421	0684867818	The Looking Glass : A Novel (The Locket Series)	Richard Paul Evans	1999	Simon &amp	 Schuster	http://images.amazon.com/images/P/0684867818.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0684867818.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0684867818.01.LZZZZZZZ.jpg	
422	0743406176	If Only It Were True	Marc Levy	2000	Atria	http://images.amazon.com/images/P/0743406176.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0743406176.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0743406176.01.LZZZZZZZ.jpg	
423	0380978539	Dear Stranger, Dearest Friend	Laney Katz Becker	2000	William Morrow &amp	 Company	http://images.amazon.com/images/P/0380978539.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0380978539.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0380978539.01.LZZZZZZZ.jpg	
424	0671042556	Blackbird: A Childhood Lost and Found	Jennifer Lauck	2000	Atria	http://images.amazon.com/images/P/0671042556.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0671042556.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0671042556.01.LZZZZZZZ.jpg	
425	0679450440	Protect and Defend	Richard North Patterson	2000	Random House Inc	http://images.amazon.com/images/P/0679450440.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0679450440.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0679450440.01.LZZZZZZZ.jpg	
426	0140107649	Blue Heaven (Contemporary American Fiction S.)	Joe Keenan	1988	Penguin Books	http://images.amazon.com/images/P/0140107649.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0140107649.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0140107649.01.LZZZZZZZ.jpg	
427	0446527793	The Guardian	Nicholas Sparks	2003	Warner Books	http://images.amazon.com/images/P/0446527793.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0446527793.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0446527793.01.LZZZZZZZ.jpg	
428	0446531332	Nights in Rodanthe	Nicholas Sparks	2002	Warner Books	http://images.amazon.com/images/P/0446531332.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0446531332.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0446531332.01.LZZZZZZZ.jpg	
429	1570717257	Man and Boy	Tony Parsons	2001	Sourcebooks Landmark	http://images.amazon.com/images/P/1570717257.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/1570717257.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/1570717257.01.LZZZZZZZ.jpg	
430	0060192631	One Heart	Jane McCafferty	1999	HarperCollins Publishers	http://images.amazon.com/images/P/0060192631.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0060192631.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0060192631.01.LZZZZZZZ.jpg	
431	0385420161	Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies	Laura Esquivel	1992	Doubleday Books	http://images.amazon.com/images/P/0385420161.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0385420161.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0385420161.01.LZZZZZZZ.jpg	
432	0345339711	The Two Towers (The Lord of the Rings, Part 2)	J.R.R. TOLKIEN	1986	Del Rey	http://images.amazon.com/images/P/0345339711.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0345339711.01.LZZZZZZZ.jpg	
433	052594463X	All of Me: A Voluptuous Tale	Venise T. Berry	2000	Dutton Books	http://images.amazon.com/images/P/052594463X.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/052594463X.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/052594463X.01.LZZZZZZZ.jpg	
434	0399147128	The Villa	Nora Roberts	2001	Putnam Publishing Group	http://images.amazon.com/images/P/0399147128.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0399147128.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0399147128.01.LZZZZZZZ.jpg	
435	0670031046	In This Mountain	Jan Karon	2002	Viking Books	http://images.amazon.com/images/P/0670031046.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0670031046.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0670031046.01.LZZZZZZZ.jpg	
436	0394574745	All the Pretty Horses (Border Trilogy, Vol 1)	Cormac McCarthy	1992	Alfred A. Knopf	http://images.amazon.com/images/P/0394574745.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0394574745.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0394574745.01.LZZZZZZZ.jpg	
437	0316969443	Suzanne's Diary for Nicholas	James Patterson	2001	Little, Brown	http://images.amazon.com/images/P/0316969443.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0316969443.01.LZZZZZZZ.jpg	
438	0743230051	He Sees You When You're Sleeping : A Novel	Mary Higgins Clark	2001	Scribner	http://images.amazon.com/images/P/0743230051.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0743230051.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0743230051.01.LZZZZZZZ.jpg	
439	0316693200	2nd Chance	James Patterson	2002	Little, Brown	http://images.amazon.com/images/P/0316693200.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0316693200.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0316693200.01.LZZZZZZZ.jpg	
440	0684868911	The Carousel : A Novel	Richard Paul Evans	2000	Simon &amp	 Schuster	http://images.amazon.com/images/P/0684868911.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0684868911.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0684868911.01.LZZZZZZZ.jpg	
441	0842336214	The Promise Remains	Travis Thrasher	2000	Tyndale House Publishers	http://images.amazon.com/images/P/0842336214.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0842336214.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0842336214.01.LZZZZZZZ.jpg	
442	0525944834	Liar's Game	Eric Jerome Dickey	2000	Dutton Books	http://images.amazon.com/images/P/0525944834.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0525944834.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0525944834.01.LZZZZZZZ.jpg	
443	0671525794	The Kingdom by the Sea: A Journey Around Great Britain	Paul Theroux	1984	Pocket Books	http://images.amazon.com/images/P/0671525794.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0671525794.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0671525794.01.LZZZZZZZ.jpg	
444	0718144538	Shattered Uk	Dick Francis	0	Michael Joseph Ltd	http://images.amazon.com/images/P/0718144538.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0718144538.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0718144538.01.LZZZZZZZ.jpg	
445	0394551427	Shoah	Claude Lanzmann	1985	Random House Inc	http://images.amazon.com/images/P/0394551427.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0394551427.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0394551427.01.LZZZZZZZ.jpg	
446	0007100221	TERROR FIRMA	Matthew Thomas	2001	Trafalgar Square	http://images.amazon.com/images/P/0007100221.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0007100221.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0007100221.01.LZZZZZZZ.jpg	
447	0947782141	Scottish Ghosts	Judy Hamilton	1999	Lomond Books	http://images.amazon.com/images/P/0947782141.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0947782141.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0947782141.01.LZZZZZZZ.jpg	
448	0743222229	George W. Bushisms : The Slate Book of The Accidental Wit and Wisdom of our 43rd President	Jacob Weisberg	2001	Fireside	http://images.amazon.com/images/P/0743222229.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0743222229.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0743222229.01.LZZZZZZZ.jpg	
449	185479549X	The World's Stupidest Laws	David Crombie	2000	Michael O'Mara Books	http://images.amazon.com/images/P/185479549X.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/185479549X.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/185479549X.01.LZZZZZZZ.jpg	
450	1860198597	How to Draw Celtic Knotwork: A Practical Handbook	Andy Sloss	0	Brockhampton Press	http://images.amazon.com/images/P/1860198597.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/1860198597.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/1860198597.01.LZZZZZZZ.jpg	
451	1842040154	Celtic Myths and Legends	Charles L. Squire	2000	Lomond Books	http://images.amazon.com/images/P/1842040154.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/1842040154.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/1842040154.01.LZZZZZZZ.jpg	
452	0571209521	Terrible Times (Eddie Dickens Trilogy S.)	Philip Ardagh	2002	Faber Children's Books	http://images.amazon.com/images/P/0571209521.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0571209521.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0571209521.01.LZZZZZZZ.jpg	
453	0060927240	Rule of the Bone : Novel, A	Russell Banks	1996	Perennial	http://images.amazon.com/images/P/0060927240.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0060927240.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0060927240.01.LZZZZZZZ.jpg	
454	0316776963	Me Talk Pretty One Day	David Sedaris	2001	Back Bay Books	http://images.amazon.com/images/P/0316776963.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0316776963.01.LZZZZZZZ.jpg	
455	156341029X	Stone Butch Blues	Leslie Feinberg	1993	Firebrand Books	http://images.amazon.com/images/P/156341029X.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/156341029X.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/156341029X.01.LZZZZZZZ.jpg	
456	0060934719	stardust	Neil Gaiman	2001	Perennial	http://images.amazon.com/images/P/0060934719.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0060934719.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0060934719.01.LZZZZZZZ.jpg	
457	1886383421	Fires of Aggar	Chris Anne Wolfe	2001	Windstorm Creative	http://images.amazon.com/images/P/1886383421.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/1886383421.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/1886383421.01.LZZZZZZZ.jpg	
458	1563411148	The Second Coming of Curly Red	Jody Seay	1999	Firebrand Books	http://images.amazon.com/images/P/1563411148.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/1563411148.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/1563411148.01.LZZZZZZZ.jpg	
459	0786889160	No Shirt, No Shoes, No Problem!	Jeff Foxworthy	1997	Warner Books (Mm)	http://images.amazon.com/images/P/0786889160.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0786889160.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0786889160.01.LZZZZZZZ.jpg	
460	0345370740	The Scions of Shannara (Heritage of Shannara (Paperback))	Terry Brooks	1993	Del Rey Books	http://images.amazon.com/images/P/0345370740.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0345370740.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0345370740.01.LZZZZZZZ.jpg	
461	0553574175	Star Wars the Rebel Dawn: The Han Solo Trilogy (Star Wars: Han Solo Trilogy (Paperback))	A.C. Crispin	1998	Spectra Books	http://images.amazon.com/images/P/0553574175.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0553574175.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0553574175.01.LZZZZZZZ.jpg	
462	0446300101	The Beans of Egypt, Maine	Carolyn Chute	1986	Warner Books	http://images.amazon.com/images/P/0446300101.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0446300101.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0446300101.01.LZZZZZZZ.jpg	
463	0821750410	Warrior Moon	Sara Orwig	1995	Zebra Books	http://images.amazon.com/images/P/0821750410.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0821750410.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0821750410.01.LZZZZZZZ.jpg	
464	0451456548	Cold Iron	Melisa Michaels	1997	Roc	http://images.amazon.com/images/P/0451456548.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0451456548.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0451456548.01.LZZZZZZZ.jpg	
465	0425049981	Titan	John Varley	1980	Berkley Publishing Group	http://images.amazon.com/images/P/0425049981.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0425049981.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0425049981.01.LZZZZZZZ.jpg	
466	0345395379	Slow River	Nicola Griffith	1996	Ballantine Books	http://images.amazon.com/images/P/0345395379.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0345395379.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0345395379.01.LZZZZZZZ.jpg	
467	0380788497	Changer	Jane Lindskold	1998	Eos	http://images.amazon.com/images/P/0380788497.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0380788497.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0380788497.01.LZZZZZZZ.jpg	
468	0440226694	Lena (50 State Quarters)	JACQUELINE WOODSON	2000	Laurel Leaf	http://images.amazon.com/images/P/0440226694.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0440226694.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0440226694.01.LZZZZZZZ.jpg	
469	1573229571	About a Boy (Movie Tie-In)	Nick Hornby	2002	Riverhead Books	http://images.amazon.com/images/P/1573229571.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/1573229571.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/1573229571.01.LZZZZZZZ.jpg	
470	0345418778	Mostly Harmless	Douglas Adams	2000	Ballantine Books	http://images.amazon.com/images/P/0345418778.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0345418778.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0345418778.01.LZZZZZZZ.jpg	
471	0517201658	The Thorn Birds (Modern Classics)	Colleen McCullough	1998	Wings	http://images.amazon.com/images/P/0517201658.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0517201658.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0517201658.01.LZZZZZZZ.jpg	
472	0743211383	Dreamcatcher	Stephen King	2001	Scribner	http://images.amazon.com/images/P/0743211383.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0743211383.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0743211383.01.LZZZZZZZ.jpg	
473	039914370X	Sudden Mischief (Spenser Mysteries (Hardcover))	Robert B. Parker	1998	Putnam Pub Group	http://images.amazon.com/images/P/039914370X.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/039914370X.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/039914370X.01.LZZZZZZZ.jpg	
474	1884777805	Elements of Programming With Perl	Andrew L. Johnson	1999	Manning Publications	http://images.amazon.com/images/P/1884777805.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/1884777805.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/1884777805.01.LZZZZZZZ.jpg	
475	0812521331	People of the Wolf (The First North Americans series, Book 1)	W. Michael Gear	1992	Tor Books	http://images.amazon.com/images/P/0812521331.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0812521331.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0812521331.01.LZZZZZZZ.jpg	
476	0451205421	The Door to December	Dean R. Koontz	2002	Signet Book	http://images.amazon.com/images/P/0451205421.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0451205421.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0451205421.01.LZZZZZZZ.jpg	
477	0894342789	College Majors and Careers: A Resource Guide for Effective Life Planning (College Majors and Careers)	Paul Phifer	1999	Ferguson Publishing Company	http://images.amazon.com/images/P/0894342789.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0894342789.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0894342789.01.LZZZZZZZ.jpg	
478	0449207595	The Grass Is Always Greener over the Septic Tank	Erma Bombeck	1988	Fawcett Books	http://images.amazon.com/images/P/0449207595.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0449207595.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0449207595.01.LZZZZZZZ.jpg	
479	8806142267	Viaggi del tempo immobile (I coralli)	Roberto Vecchioni	1996	Einaudi	http://images.amazon.com/images/P/8806142267.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/8806142267.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/8806142267.01.LZZZZZZZ.jpg	
480	0689832877	Sunwing (Aladdin Fantasy)	Kenneth Oppel	2001	Aladdin	http://images.amazon.com/images/P/0689832877.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0689832877.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0689832877.01.LZZZZZZZ.jpg	
481	043922165X	Circles in the Stream (Avalon: Web of Magic, 1)	Shelly R. Roberts	2001	Scholastic	http://images.amazon.com/images/P/043922165X.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/043922165X.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/043922165X.01.LZZZZZZZ.jpg	
482	015216250X	So You Want to Be a Wizard: The First Book in the Young Wizards Series	Diane Duane	2001	Magic Carpet Books	http://images.amazon.com/images/P/015216250X.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/015216250X.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/015216250X.01.LZZZZZZZ.jpg	
483	1562477528	Going for Great (Ag Fiction (American Girl))	Carolee Brockmann	1999	Pleasant Company Publications	http://images.amazon.com/images/P/1562477528.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/1562477528.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/1562477528.01.LZZZZZZZ.jpg	
484	0440219078	The Giver (21st Century Reference)	LOIS LOWRY	1994	Laure Leaf	http://images.amazon.com/images/P/0440219078.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0440219078.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0440219078.01.LZZZZZZZ.jpg	
485	185424597X	The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun	Paul Hattaway	2003	Monarch Books	http://images.amazon.com/images/P/185424597X.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/185424597X.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/185424597X.01.LZZZZZZZ.jpg	
486	3404118960	Die SÃ?Â¤ulen der Erde. Roman.	Ken Follett	1992	LÃ?Â¼bbe	http://images.amazon.com/images/P/3404118960.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/3404118960.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/3404118960.01.LZZZZZZZ.jpg	
487	0345356578	A Man Rides Through (Man Rides Through)	Stephen Donaldson	1990	Del Rey Books	http://images.amazon.com/images/P/0345356578.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0345356578.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0345356578.01.LZZZZZZZ.jpg	
488	0345346971	Mirror of Her Dreams (Mordant's Need)	STEPHEN R. DONALDSON	1987	Del Rey	http://images.amazon.com/images/P/0345346971.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0345346971.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0345346971.01.LZZZZZZZ.jpg	
489	0753804700	Reader	Bernhard Schlink	0	Phoenix Books	http://images.amazon.com/images/P/0753804700.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0753804700.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0753804700.01.LZZZZZZZ.jpg	
490	0451155750	The Dead Zone	Stephen King	2004	Signet Book	http://images.amazon.com/images/P/0451155750.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0451155750.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0451155750.01.LZZZZZZZ.jpg	
491	0786890436	The Diary of Ellen Rimbauer: My Life at Rose Red	Ellen Rimbauer	2002	Hyperion Press	http://images.amazon.com/images/P/0786890436.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0786890436.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0786890436.01.LZZZZZZZ.jpg	
492	0415928087	A New Germany in a New Europe	Todd Herzog	2000	Routledge	http://images.amazon.com/images/P/0415928087.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0415928087.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0415928087.01.LZZZZZZZ.jpg	
493	0671694049	LONG DARK TEA TIME OF THE SOUL	Douglas Adams	1990	Pocket	http://images.amazon.com/images/P/0671694049.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0671694049.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0671694049.01.LZZZZZZZ.jpg	
494	080901582X	The Return of Simple	Langston Hughes	1995	Hill &amp	 Wang	http://images.amazon.com/images/P/080901582X.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/080901582X.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/080901582X.01.LZZZZZZZ.jpg	
495	0373250339	A Minor Indiscretion (Red Dress Ink (Paperback))	Carol Matthews	2003	Red Dress Ink	http://images.amazon.com/images/P/0373250339.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0373250339.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0373250339.01.LZZZZZZZ.jpg	
496	0380820447	For Better, for Worse: A Novel	Carole Matthews	2002	Avon Trade	http://images.amazon.com/images/P/0380820447.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0380820447.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0380820447.01.LZZZZZZZ.jpg	
497	0385497679	Hidden in Plain View: A Secret Story of Quilts and the Underground Railroad	Jacqueline L. Tobin	2000	Anchor Pub	http://images.amazon.com/images/P/0385497679.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0385497679.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0385497679.01.LZZZZZZZ.jpg	
498	0941423042	American Poetry Since 1970: Up Late	Andrei Codrescu	1988	Four Walls Eight Windows	http://images.amazon.com/images/P/0941423042.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0941423042.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0941423042.01.LZZZZZZZ.jpg	
499	0312853238	Ender's Game (Ender Wiggins Saga (Paperback))	Orson Scott Card	1992	Tor Books	http://images.amazon.com/images/P/0312853238.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0312853238.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0312853238.01.LZZZZZZZ.jpg	
500	0688048730	Thinking on paper	V. A Howard	1986	W. Morrow	http://images.amazon.com/images/P/0688048730.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0688048730.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0688048730.01.LZZZZZZZ.jpg	
501	0385493800	The Testament	John Grisham	1999	Doubleday Books	http://images.amazon.com/images/P/0385493800.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0385493800.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0385493800.01.LZZZZZZZ.jpg	
502	0849916399	The Internet Church	Walter P. Wilson	2000	W Publishing Group	http://images.amazon.com/images/P/0849916399.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0849916399.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0849916399.01.LZZZZZZZ.jpg	
503	0440211727	A Time to Kill	JOHN GRISHAM	1992	Dell	http://images.amazon.com/images/P/0440211727.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0440211727.01.LZZZZZZZ.jpg	
504	0877192820	The Truth About Texas: Who Needs to Brag? We'Ve Got the Facts	Anne Dingus	1995	Gulf Publishing Company	http://images.amazon.com/images/P/0877192820.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0877192820.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0877192820.01.LZZZZZZZ.jpg	
505	0793133955	Wall Street's Picks for 2000: An Insider's Guide to the Year's Best Stocks &amp	 Mutual Funds (Wall Street's Picks)	Kirk Kazanjian	1999	Dearborn Financial Publishing	http://images.amazon.com/images/P/0793133955.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0793133955.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0793133955.01.LZZZZZZZ.jpg	
506	0385479689	Dead Men Do Tell Tales: The Strange and Fascinating Cases of a Forensic Anthropologist	William Maples	1995	Main Street Books	http://images.amazon.com/images/P/0385479689.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0385479689.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0385479689.01.LZZZZZZZ.jpg	
